month,region,revenue,orders
2025-01,서울,48200000,1240
2025-01,부산,21500000,610
2025-01,온라인,63800000,2180
2025-02,서울,51100000,1310
2025-02,부산,19800000,560
2025-02,온라인,67400000,2320
2025-03,서울,55600000,1425
2025-03,부산,23900000,690
2025-03,온라인,72100000,2510
2025-04,서울,53200000,1360
2025-04,부산,25400000,742
2025-04,온라인,75800000,2660
2025-05,서울,58900000,1502
2025-05,부산,27100000,805
2025-05,온라인,81200000,2890
2025-06,서울,61300000,1588
2025-06,부산,26800000,790
2025-06,온라인,86500000,3104
2025-07,서울,59700000,1540
2025-07,부산,28300000,838
2025-07,온라인,90100000,3260
2025-08,서울,64500000,1672
2025-08,부산,30100000,902
2025-08,온라인,94700000,3438
